Violation ID,File Path,Message,Context,Fixed
E226,./asv_bench/benchmarks/io/style.py,E226 missing whitespace around arithmetic operator,"        self.df = DataFrame(
            np.random.randn(rows, cols),
            columns=[f""float_{i+1}"" for i in range(cols)],
            index=[f""row_{i+1}"" for i in range(rows)],
        )
",False
E226,./asv_bench/benchmarks/io/style.py,E226 missing whitespace around arithmetic operator,"            np.random.randn(rows, cols),
            columns=[f""float_{i+1}"" for i in range(cols)],
            index=[f""row_{i+1}"" for i in range(rows)],
        )

",False
F824,./pandas/_config/config.py,F824 `global reset_option` is unused,"    # it does not fit in to this monkey-patching scheme

    global register_option, get_option, set_option, reset_option

    def wrap(func: F) -> F:
",False
E721,./pandas/_config/config.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","
    def inner(x) -> None:
        if type(x) != _type:
            raise ValueError(f""Value must have type '{_type}'"")

",False
E721,./pandas/_testing/asserters.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","        return type(x).__name__

    if type(left) == type(right):
        return

",False
E721,./pandas/_testing/asserters.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","        isinstance(left, DatetimeLikeArrayMixin)
        and isinstance(right, DatetimeLikeArrayMixin)
        and type(right) == type(left)
    ):
        # Avoid slow object-dtype comparisons
",False
E721,./pandas/core/arrays/_arrow_utils.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","    def __eq__(self, other):
        if isinstance(other, pyarrow.BaseExtensionType):
            return type(self) == type(other) and self.freq == other.freq
        else:
            return NotImplemented
",False
E721,./pandas/core/arrays/_arrow_utils.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","    def __eq__(self, other):
        if isinstance(other, pyarrow.BaseExtensionType):
            return (
                type(self) == type(other)
                and self.subtype == other.subtype
",False
E721,./pandas/core/arrays/base.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","            Whether the arrays are equivalent.
        """"""
        if type(self) != type(other):
            return False
        other = cast(ExtensionArray, other)
",False
E721,./pandas/core/arrays/interval.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","            left = left.astype(right.dtype)

        if type(left) != type(right):
            msg = (
                f""must not have differing left [{type(left).__name__}] and ""
",False
E721,./pandas/core/arrays/interval.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","
    def equals(self, other) -> bool:
        if type(self) != type(other):
            return False

",False
E721,./pandas/core/arrays/masked.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","    @doc(ExtensionArray.equals)
    def equals(self, other) -> bool:
        if type(self) != type(other):
            return False
        if other.dtype != self.dtype:
",False
F824,./pandas/core/computation/expressions.py,F824 `global _TEST_RESULT` is unused,"
def _store_test_result(used_numexpr: bool) -> None:
    global _TEST_RESULT
    if used_numexpr:
        _TEST_RESULT.append(used_numexpr)
",False
E721,./pandas/core/indexes/base.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","                for c in self._comparables
            )
            and type(self) == type(other)
        )

",False
E201,./pandas/core/ops/array_ops.py,E201 whitespace after '{',"        if not is_scalar(y):
            raise TypeError(
                f""Cannot broadcast np.ndarray with operand of type { type(y) }""
            )

",False
E202,./pandas/core/ops/array_ops.py,E202 whitespace before '}',"        if not is_scalar(y):
            raise TypeError(
                f""Cannot broadcast np.ndarray with operand of type { type(y) }""
            )

",False
E226,./pandas/io/excel/_odswriter.py,E226 missing whitespace around arithmetic operator,"        if style_key in self._style_dict:
            return self._style_dict[style_key]
        name = f""pd{len(self._style_dict)+1}""
        self._style_dict[style_key] = name
        odf_style = Style(name=name, family=""table-cell"")
",False
E231,./pandas/io/formats/format.py,E231 missing whitespace after ',"                precision = get_option(""display.precision"")
                float_format = lambda x: _trim_zeros_single_float(
                    f""{x: .{precision:d}f}""
                )
        else:
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"                    styles.append(
                        {
                            ""selector"": f""thead tr:nth-child({level+1}) th"",
                            ""props"": props
                            + (
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"                    styles.append(
                        {
                            ""selector"": f""thead tr:nth-child({obj.nlevels+1}) th"",
                            ""props"": props
                            + (
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"                            ""props"": props
                            + (
                                f""top:{(i+1) * pixel_size}px; height:{pixel_size}px; ""
                                ""z-index:2;""
                            ),
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"                        [
                            {
                                ""selector"": f""thead tr th:nth-child({level+1})"",
                                ""props"": props_ + ""z-index:3 !important;"",
                            },
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"            cell_css += ""background: linear-gradient(90deg,""
            if start > 0:
                cell_css += f"" transparent {start*100:.1f}%, {color} {start*100:.1f}%,""
            cell_css += f"" {color} {end*100:.1f}%, transparent {end*100:.1f}%)""
        return cell_css
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"            cell_css += ""background: linear-gradient(90deg,""
            if start > 0:
                cell_css += f"" transparent {start*100:.1f}%, {color} {start*100:.1f}%,""
            cell_css += f"" {color} {end*100:.1f}%, transparent {end*100:.1f}%)""
        return cell_css
",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"            if start > 0:
                cell_css += f"" transparent {start*100:.1f}%, {color} {start*100:.1f}%,""
            cell_css += f"" {color} {end*100:.1f}%, transparent {end*100:.1f}%)""
        return cell_css

",False
E226,./pandas/io/formats/style.py,E226 missing whitespace around arithmetic operator,"            if start > 0:
                cell_css += f"" transparent {start*100:.1f}%, {color} {start*100:.1f}%,""
            cell_css += f"" {color} {end*100:.1f}%, transparent {end*100:.1f}%)""
        return cell_css

",False
E226,./pandas/io/formats/style_render.py,E226 missing whitespace around arithmetic operator,"            return command, f""[HTML]{{{value[1:].upper()}}}{arg}""
        if value[0] == ""#"" and len(value) == 4:  # color is short hex code
            val = f""{value[1].upper()*2}{value[2].upper()*2}{value[3].upper()*2}""
            return command, f""[HTML]{{{val}}}{arg}""
        elif value[:3] == ""rgb"":  # color is rgb or rgba
",False
E226,./pandas/io/formats/style_render.py,E226 missing whitespace around arithmetic operator,"            return command, f""[HTML]{{{value[1:].upper()}}}{arg}""
        if value[0] == ""#"" and len(value) == 4:  # color is short hex code
            val = f""{value[1].upper()*2}{value[2].upper()*2}{value[3].upper()*2}""
            return command, f""[HTML]{{{val}}}{arg}""
        elif value[:3] == ""rgb"":  # color is rgb or rgba
",False
E226,./pandas/io/formats/style_render.py,E226 missing whitespace around arithmetic operator,"            return command, f""[HTML]{{{value[1:].upper()}}}{arg}""
        if value[0] == ""#"" and len(value) == 4:  # color is short hex code
            val = f""{value[1].upper()*2}{value[2].upper()*2}{value[3].upper()*2}""
            return command, f""[HTML]{{{val}}}{arg}""
        elif value[:3] == ""rgb"":  # color is rgb or rgba
",False
E721,./pandas/io/sql.py,"E721 do not compare types, for exact checks use `is` / `is not`, for instance checks use `isinstance()`","        while True:
            data = cursor.fetchmany(chunksize)
            if type(data) == tuple:
                data = list(data)
            if not data:
",False
E501,./pandas/tests/arrays/categorical/test_repr.py,E501 line too long (97 > 88 characters),"
        c = Categorical(idx.append(idx), categories=idx)
        exp = """"""[1 days, 2 days, 3 days, 4 days, 5 days, 1 days, 2 days, 3 days, 4 days, 5 days]
Categories (5, timedelta64[ns]): [1 days, 2 days, 3 days, 4 days, 5 days]""""""

",False
